 ,Area1,Mean1,Min1,Max1,Perim.1
1,43.950,3248.166,410,8444,28.213
2,43.950,490.768,102,1489,28.213
3,43.950,3194.129,406,8290,28.213
4,43.950,493.647,100,1519,28.213
5,43.950,3112.988,409,8204,28.213
6,43.950,494.396,111,1552,28.213
7,43.950,3067.277,401,7985,28.213
8,43.950,494.231,115,1538,28.213
9,43.950,3044.744,369,7891,28.213
10,43.950,492.809,114,1539,28.213
11,43.950,3006.471,365,7874,28.213
12,43.950,493.371,111,1560,28.213
13,43.950,3032.288,383,7933,28.213
14,43.950,493.349,101,1604,28.213
15,43.950,3030.426,378,7895,28.213
16,43.950,494.820,111,1520,28.213
17,43.950,2981.479,367,7804,28.213
18,43.950,493.092,113,1520,28.213
19,43.950,2870.292,385,7567,28.213
20,43.950,491.206,110,1539,28.213
21,43.950,2775.533,367,7334,28.213
22,43.950,491.083,107,1509,28.213
23,43.950,2751.727,374,7178,28.213
24,43.950,493.077,105,1479,28.213
25,43.950,2750.314,361,7245,28.213
26,43.950,495.133,104,1500,28.213
27,43.950,2757.323,357,7173,28.213
28,43.950,496.181,102,1541,28.213
29,43.950,2725.712,353,7316,28.213
30,43.950,499.321,107,1582,28.213
31,43.950,2748.691,347,7190,28.213
32,43.950,500.666,117,1540,28.213
33,43.950,2775.217,376,7131,28.213
34,43.950,501.095,109,1536,28.213
35,43.950,2827.901,356,7295,28.213
36,43.950,505.664,98,1585,28.213
37,43.950,2818.207,369,7242,28.213
38,43.950,507.685,107,1561,28.213
39,43.950,2814.660,360,7257,28.213
40,43.950,510.131,107,1584,28.213
41,43.950,2792.725,366,7086,28.213
42,43.950,510.331,108,1574,28.213
43,43.950,2827.111,366,7162,28.213
44,43.950,512.909,113,1553,28.213
45,43.950,2839.775,385,7227,28.213
46,43.950,514.690,113,1610,28.213
47,43.950,2843.842,375,7201,28.213
48,43.950,514.561,104,1603,28.213
49,43.950,2848.443,377,7337,28.213
50,43.950,514.836,115,1645,28.213
51,43.950,2852.062,351,7202,28.213
52,43.950,514.822,109,1564,28.213
53,43.950,2866.558,354,7174,28.213
54,43.950,516.700,114,1592,28.213
55,43.950,2836.699,364,7216,28.213
56,43.950,518.229,108,1630,28.213
57,43.950,2830.485,370,7180,28.213
58,43.950,521.436,105,1686,28.213
59,43.950,2815.333,367,7097,28.213
60,43.950,521.875,113,1612,28.213
61,43.950,2784.979,347,7040,28.213
62,43.950,521.771,111,1677,28.213
63,43.950,2874.480,372,7154,28.213
64,43.950,522.227,109,1635,28.213
65,43.950,3001.038,391,7469,28.213
66,43.950,525.813,112,1628,28.213
67,43.950,3081.079,396,7612,28.213
68,43.950,525.596,106,1679,28.213
69,43.950,3139.692,410,7707,28.213
70,43.950,527.731,114,1629,28.213
71,43.950,3058.495,407,7617,28.213
72,43.950,527.794,110,1679,28.213
73,43.950,3046.449,381,7506,28.213
74,43.950,529.383,118,1658,28.213
75,43.950,3066.843,394,7530,28.213
76,43.950,528.961,111,1644,28.213
77,43.950,3095.412,419,7653,28.213
78,43.950,533.615,111,1717,28.213
79,43.950,3103.412,397,7636,28.213
80,43.950,534.670,115,1727,28.213
81,43.950,3098.417,410,7580,28.213
82,43.950,534.915,116,1682,28.213
83,43.950,3090.590,416,7632,28.213
84,43.950,535.383,116,1646,28.213
85,43.950,3111.672,434,7524,28.213
86,43.950,536.893,115,1655,28.213
87,43.950,3097.297,405,7631,28.213
88,43.950,536.684,120,1636,28.213
89,43.950,3102.713,393,7601,28.213
90,43.950,538.049,115,1626,28.213
91,43.950,3133.938,396,7585,28.213
92,43.950,537.279,122,1592,28.213
93,43.950,3088.785,409,7574,28.213
94,43.950,533.774,114,1701,28.213
95,43.950,3063.308,404,7455,28.213
96,43.950,540.539,111,1597,28.213
97,43.950,3109.638,384,7482,28.213
98,43.950,538.472,106,1676,28.213
99,43.950,3152.257,445,7666,28.213
100,43.950,539.538,116,1616,28.213
101,43.950,3097.576,417,7603,28.213
102,43.950,542.342,116,1587,28.213
103,43.950,3106.589,417,7540,28.213
104,43.950,543.866,118,1633,28.213
105,43.950,3115.097,432,7632,28.213
106,43.950,541.303,116,1608,28.213
107,43.950,3112.841,393,7622,28.213
108,43.950,542.320,118,1555,28.213
109,43.950,3104.427,432,7635,28.213
110,43.950,541.716,123,1586,28.213
111,43.950,3089.216,411,7482,28.213
112,43.950,539.431,115,1666,28.213
113,43.950,3067.678,439,7356,28.213
114,43.950,547.222,106,1603,28.213
115,43.950,3069.766,455,7405,28.213
116,43.950,550.058,120,1640,28.213
117,43.950,3050.233,410,7487,28.213
118,43.950,551.036,114,1636,28.213
119,43.950,3072.392,444,7410,28.213
120,43.950,552.687,120,1669,28.213
121,43.950,3114.988,473,7527,28.213
122,43.950,552.862,116,1635,28.213
123,43.950,3124.706,495,7524,28.213
124,43.950,554.831,112,1585,28.213
125,43.950,3129.682,453,7557,28.213
126,43.950,553.996,93,1620,28.213
127,43.950,3122.834,436,7497,28.213
128,43.950,555.117,118,1617,28.213
129,43.950,3051.679,428,7303,28.213
130,43.950,557.033,121,1671,28.213
131,43.950,3022.849,498,7248,28.213
132,43.950,558.491,116,1614,28.213
133,43.950,3018.713,521,7254,28.213
134,43.950,560.155,118,1620,28.213
135,43.950,3024.273,529,7180,28.213
136,43.950,559.086,120,1570,28.213
137,43.950,2989.848,499,7151,28.213
138,43.950,558.201,106,1559,28.213
139,43.950,3002.919,510,7236,28.213
140,43.950,557.260,118,1554,28.213
141,43.950,3002.582,530,7191,28.213
142,43.950,559.312,111,1569,28.213
143,43.950,2966.800,473,7154,28.213
144,43.950,557.713,120,1602,28.213
145,43.950,2987.150,557,7310,28.213
146,43.950,557.443,123,1576,28.213
147,43.950,3010.768,569,7109,28.213
148,43.950,557.757,128,1507,28.213
149,43.950,2982.904,556,7181,28.213
150,43.950,556.026,126,1501,28.213
151,43.950,2994.176,525,7181,28.213
152,43.950,556.338,116,1583,28.213
153,43.950,2983.274,583,7168,28.213
154,43.950,557.839,121,1538,28.213
155,43.950,2958.897,606,7175,28.213
156,43.950,556.714,127,1561,28.213
157,43.950,2934.910,595,6981,28.213
158,43.950,557.573,129,1501,28.213
159,43.950,2935.413,617,7019,28.213
160,43.950,553.773,125,1564,28.213
161,43.950,2956.972,630,7024,28.213
162,43.950,561.845,112,1533,28.213
163,43.950,2905.111,611,7053,28.213
164,43.950,561.284,127,1536,28.213
165,43.950,2893.539,605,6915,28.213
166,43.950,560.374,131,1565,28.213
167,43.950,2870.970,652,6930,28.213
168,43.950,560.434,133,1504,28.213
169,43.950,2899.710,637,6886,28.213
170,43.950,562.197,131,1580,28.213
