 ,Area1,Mean1,Min1,Max1,Perim.1
1,89.492,3635.744,1191,8699,50.187
2,89.492,1884.001,279,7961,50.187
3,89.492,3405.396,1127,8184,50.187
4,89.492,1881.291,272,7910,50.187
5,89.492,3332.661,1092,8171,50.187
6,89.492,1894.620,278,7839,50.187
7,89.492,3265.122,1112,7937,50.187
8,89.492,1879.830,260,7608,50.187
9,89.492,3257.816,1077,7739,50.187
10,89.492,1879.993,272,7643,50.187
11,89.492,3231.314,1062,7745,50.187
12,89.492,1877.806,272,7861,50.187
13,89.492,3181.386,1042,7658,50.187
14,89.492,1884.511,274,7737,50.187
15,89.492,3135.313,1048,7434,50.187
16,89.492,1875.545,265,7698,50.187
17,89.492,3089.095,1015,7464,50.187
18,89.492,1876.273,267,7910,50.187
19,89.492,3042.273,1049,7192,50.187
20,89.492,1869.142,272,7649,50.187
21,89.492,3069.589,1012,7279,50.187
22,89.492,1874.671,266,7736,50.187
23,89.492,3004.750,994,7139,50.187
24,89.492,1869.037,250,7479,50.187
25,89.492,3014.522,1024,7210,50.187
26,89.492,1877.098,264,7525,50.187
27,89.492,3028.979,981,7093,50.187
28,89.492,1877.511,268,7409,50.187
29,89.492,3080.469,988,7317,50.187
30,89.492,1885.616,265,7670,50.187
31,89.492,3008.109,973,7086,50.187
32,89.492,1881.144,256,7662,50.187
33,89.492,2941.507,954,6900,50.187
34,89.492,1876.311,260,7634,50.187
35,89.492,2935.176,964,6860,50.187
36,89.492,1886.108,264,7438,50.187
37,89.492,2871.576,902,6884,50.187
38,89.492,1886.264,257,7667,50.187
39,89.492,2816.212,949,6529,50.187
40,89.492,1885.375,253,7575,50.187
41,89.492,2775.116,911,6579,50.187
42,89.492,1883.933,254,7694,50.187
43,89.492,2785.186,912,6562,50.187
44,89.492,1889.910,268,7705,50.187
45,89.492,2746.226,905,6303,50.187
46,89.492,1881.954,254,7715,50.187
47,89.492,2746.830,928,6367,50.187
48,89.492,1879.341,221,7679,50.187
49,89.492,2749.257,906,6328,50.187
50,89.492,1882.099,264,7729,50.187
51,89.492,2755.008,898,6450,50.187
52,89.492,1890.485,255,7759,50.187
53,89.492,2752.933,913,6521,50.187
54,89.492,1896.015,261,7735,50.187
55,89.492,2742.051,891,6350,50.187
56,89.492,1905.276,247,7741,50.187
57,89.492,2739.023,866,6351,50.187
58,89.492,1907.110,268,7548,50.187
59,89.492,2746.610,924,6335,50.187
60,89.492,1905.158,259,7435,50.187
61,89.492,2743.716,926,6503,50.187
62,89.492,1925.967,257,7681,50.187
63,89.492,2738.778,909,6238,50.187
64,89.492,1937.160,255,7742,50.187
65,89.492,2748.261,874,6262,50.187
66,89.492,1950.447,265,7609,50.187
67,89.492,2763.792,894,6402,50.187
68,89.492,1953.423,255,7843,50.187
69,89.492,2726.178,897,6299,50.187
70,89.492,1927.706,262,7453,50.187
71,89.492,2689.301,884,6061,50.187
72,89.492,1926.134,260,7551,50.187
73,89.492,2720.949,879,6142,50.187
74,89.492,1924.328,259,7366,50.187
75,89.492,2772.201,886,6112,50.187
76,89.492,1927.671,252,7207,50.187
77,89.492,2784.804,885,6231,50.187
78,89.492,1946.532,263,7390,50.187
79,89.492,2748.774,884,6040,50.187
80,89.492,1951.210,252,7441,50.187
81,89.492,2752.320,877,6015,50.187
82,89.492,1947.658,267,7577,50.187
83,89.492,2709.272,854,5949,50.187
84,89.492,1947.508,248,7819,50.187
85,89.492,2675.576,863,5868,50.187
86,89.492,1961.283,255,7619,50.187
87,89.492,2658.341,850,5780,50.187
88,89.492,1975.423,277,7558,50.187
89,89.492,2630.998,860,5690,50.187
90,89.492,1968.940,275,7732,50.187
91,89.492,2603.605,824,5478,50.187
92,89.492,1976.959,264,7835,50.187
93,89.492,2597.456,830,5611,50.187
94,89.492,1981.987,263,8050,50.187
95,89.492,2601.951,835,5551,50.187
96,89.492,1977.527,231,8210,50.187
97,89.492,2611.046,849,5570,50.187
98,89.492,1978.448,258,8093,50.187
99,89.492,2668.920,849,5637,50.187
100,89.492,1993.457,275,8183,50.187
101,89.492,2725.505,854,5781,50.187
102,89.492,2005.448,258,8156,50.187
103,89.492,2736.456,825,5831,50.187
104,89.492,2014.338,271,8208,50.187
105,89.492,2774.686,839,5793,50.187
106,89.492,2045.984,271,8158,50.187
107,89.492,2789.790,870,5845,50.187
108,89.492,2074.786,286,8206,50.187
109,89.492,2802.563,861,5878,50.187
110,89.492,2089.463,297,8121,50.187
111,89.492,2762.146,834,5637,50.187
112,89.492,2096.201,304,8216,50.187
113,89.492,2731.542,873,5663,50.187
114,89.492,2105.531,297,8466,50.187
115,89.492,2737.794,881,5551,50.187
116,89.492,2111.561,306,8547,50.187
117,89.492,2702.552,865,5455,50.187
118,89.492,2113.831,311,8382,50.187
119,89.492,2682.216,857,5440,50.187
120,89.492,2116.610,330,8416,50.187
121,89.492,2640.152,892,5381,50.187
122,89.492,2109.862,286,8334,50.187
123,89.492,2687.451,908,5419,50.187
124,89.492,2116.339,307,8453,50.187
125,89.492,2671.868,949,5467,50.187
126,89.492,2117.579,299,8018,50.187
127,89.492,2669.770,939,5418,50.187
128,89.492,2128.791,302,8056,50.187
129,89.492,2696.521,896,5541,50.187
130,89.492,2123.046,324,8308,50.187
131,89.492,2663.723,855,5306,50.187
132,89.492,2117.285,329,8191,50.187
133,89.492,2620.302,861,5297,50.187
134,89.492,2109.614,290,8202,50.187
135,89.492,2609.665,855,5280,50.187
136,89.492,2101.247,324,8144,50.187
137,89.492,2567.833,832,5344,50.187
138,89.492,2091.497,325,8151,50.187
139,89.492,2546.160,881,5132,50.187
140,89.492,2073.972,323,8118,50.187
141,89.492,2561.070,865,5194,50.187
142,89.492,2077.456,331,8164,50.187
143,89.492,2552.042,856,5220,50.187
144,89.492,2082.478,309,8230,50.187
145,89.492,2521.762,823,5076,50.187
146,89.492,2081.486,322,8199,50.187
147,89.492,2524.075,827,4981,50.187
148,89.492,2086.917,337,8264,50.187
149,89.492,2533.288,839,5055,50.187
150,89.492,2081.992,337,8086,50.187
