 ,Area1,Mean1,Min1,Max1,Perim.1
151,89.492,2551.130,789,5019,50.187
152,89.492,2085.082,329,7997,50.187
153,89.492,2606.189,777,5158,50.187
154,89.492,2092.922,362,8266,50.187
155,89.492,2648.065,814,5413,50.187
156,89.492,2093.584,325,8126,50.187
157,89.492,2665.958,775,5429,50.187
158,89.492,2097.739,334,8310,50.187
159,89.492,2658.949,755,5311,50.187
160,89.492,2094.199,329,8287,50.187
161,89.492,2657.033,763,5332,50.187
162,89.492,2092.428,323,7955,50.187
163,89.492,2631.865,747,5206,50.187
164,89.492,2083.615,340,8029,50.187
165,89.492,2591.615,752,5133,50.187
166,89.492,2077.402,313,7988,50.187
167,89.492,2551.902,703,5049,50.187
168,89.492,2072.106,314,8016,50.187
169,89.492,2536.261,713,4977,50.187
170,89.492,2064.500,322,8096,50.187
