 ,Area(4_roi),Mean(4_roi),Min(4_roi),Max(4_roi),Perim.(4_roi)
1,152.353,2100.902,326,10491,56.068
2,152.353,1463.737,165,21989,56.068
3,152.353,2021.432,311,10099,56.068
4,152.353,1465.385,170,22014,56.068
5,152.353,1925.668,313,9566,56.068
6,152.353,1464.946,163,22239,56.068
7,152.353,1857.309,288,9270,56.068
8,152.353,1464.970,171,22477,56.068
9,152.353,1858.263,281,9119,56.068
10,152.353,1465.532,167,22594,56.068
11,152.353,1812.073,300,8918,56.068
12,152.353,1465.803,148,22666,56.068
13,152.353,1754.071,286,8585,56.068
14,152.353,1464.346,174,22813,56.068
15,152.353,1726.318,289,8398,56.068
16,152.353,1469.338,159,22806,56.068
17,152.353,1706.594,274,8479,56.068
18,152.353,1463.953,170,23363,56.068
19,152.353,1685.750,272,8220,56.068
20,152.353,1462.555,175,23360,56.068
21,152.353,1680.653,274,8120,56.068
22,152.353,1462.066,175,23360,56.068
23,152.353,1632.364,253,7873,56.068
24,152.353,1459.658,173,23793,56.068
25,152.353,1641.990,272,8035,56.068
26,152.353,1461.173,157,23572,56.068
27,152.353,1618.821,258,7739,56.068
28,152.353,1457.713,169,24171,56.068
29,152.353,1578.510,254,7514,56.068
30,152.353,1456.327,155,24127,56.068
31,152.353,1564.083,252,7446,56.068
32,152.353,1454.739,154,23939,56.068
33,152.353,1545.582,219,7327,56.068
34,152.353,1455.165,153,24340,56.068
35,152.353,1564.036,251,7329,56.068
36,152.353,1452.928,159,24573,56.068
37,152.353,1532.662,221,7284,56.068
38,152.353,1451.871,160,24335,56.068
39,152.353,1509.413,238,7167,56.068
40,152.353,1450.708,155,24743,56.068
41,152.353,1498.445,221,7105,56.068
42,152.353,1449.055,149,24599,56.068
43,152.353,1473.683,222,6935,56.068
44,152.353,1448.304,155,24982,56.068
45,152.353,1449.252,215,6806,56.068
46,152.353,1446.286,155,24979,56.068
47,152.353,1414.652,212,6692,56.068
48,152.353,1446.835,151,25070,56.068
49,152.353,1366.222,205,6422,56.068
50,152.353,1443.302,144,24967,56.068
51,152.353,1351.504,197,6405,56.068
52,152.353,1442.124,150,25134,56.068
53,152.353,1327.663,210,6220,56.068
54,152.353,1441.213,144,25433,56.068
55,152.353,1303.006,205,6032,56.068
56,152.353,1440.357,151,25227,56.068
57,152.353,1290.377,207,6013,56.068
58,152.353,1438.195,154,25480,56.068
59,152.353,1267.895,205,5816,56.068
60,152.353,1436.661,145,25674,56.068
61,152.353,1246.559,199,5724,56.068
62,152.353,1435.026,147,25356,56.068
63,152.353,1222.665,203,5626,56.068
64,152.353,1432.850,152,25586,56.068
65,152.353,1197.738,208,5465,56.068
66,152.353,1432.070,151,26093,56.068
67,152.353,1182.604,199,5385,56.068
68,152.353,1432.278,146,26096,56.068
69,152.353,1178.994,190,5320,56.068
70,152.353,1428.466,151,25344,56.068
71,152.353,1159.276,189,5218,56.068
72,152.353,1426.781,138,25695,56.068
73,152.353,1143.258,201,5240,56.068
74,152.353,1425.103,151,25901,56.068
75,152.353,1136.027,192,5118,56.068
76,152.353,1424.936,151,25652,56.068
77,152.353,1122.835,199,5009,56.068
78,152.353,1423.119,147,25948,56.068
79,152.353,1104.945,196,5041,56.068
80,152.353,1422.074,146,25810,56.068
81,152.353,1076.865,194,4878,56.068
82,152.353,1423.543,136,25660,56.068
83,152.353,1056.194,186,4632,56.068
84,152.353,1421.833,146,26082,56.068
85,152.353,1035.464,183,4616,56.068
86,152.353,1420.125,146,25830,56.068
87,152.353,999.416,180,4424,56.068
88,152.353,1418.447,148,25899,56.068
