 ,Area(4_roi),Mean(4_roi),Min(4_roi),Max(4_roi),Perim.(4_roi)
89,152.353,978.373,179,4329,56.068
90,152.353,1416.861,143,25757,56.068
91,152.353,965.239,186,4196,56.068
92,152.353,1414.793,144,26147,56.068
93,152.353,943.277,184,4131,56.068
94,152.353,1413.565,145,25761,56.068
95,152.353,915.280,176,3977,56.068
96,152.353,1410.716,142,26219,56.068
97,152.353,900.247,183,3867,56.068
98,152.353,1409.710,141,25941,56.068
99,152.353,875.456,176,3761,56.068
100,152.353,1407.142,130,25795,56.068
101,152.353,873.324,178,3712,56.068
102,152.353,1403.790,137,25511,56.068
103,152.353,858.966,180,3678,56.068
104,152.353,1402.839,140,26005,56.068
105,152.353,836.131,178,3505,56.068
106,152.353,1401.862,131,25448,56.068
107,152.353,812.464,176,3404,56.068
108,152.353,1401.656,142,25547,56.068
109,152.353,793.229,174,3302,56.068
110,152.353,1397.372,129,25614,56.068
111,152.353,773.797,169,3142,56.068
112,152.353,1399.782,137,25610,56.068
113,152.353,746.023,173,2997,56.068
114,152.353,1398.465,141,25352,56.068
115,152.353,745.201,176,2984,56.068
116,152.353,1395.482,141,25293,56.068
117,152.353,727.038,164,2973,56.068
118,152.353,1394.245,140,25312,56.068
119,152.353,708.231,170,2842,56.068
120,152.353,1393.501,140,25193,56.068
121,152.353,689.883,165,2748,56.068
122,152.353,1391.142,141,25020,56.068
123,152.353,678.275,157,2718,56.068
124,152.353,1392.543,134,25275,56.068
125,152.353,663.261,168,2578,56.068
126,152.353,1388.726,136,24868,56.068
127,152.353,656.185,161,2536,56.068
128,152.353,1388.864,129,25099,56.068
129,152.353,638.483,170,2495,56.068
130,152.353,1386.709,134,24914,56.068
131,152.353,627.923,168,2484,56.068
132,152.353,1382.135,134,24766,56.068
133,152.353,617.234,161,2405,56.068
134,152.353,1380.143,138,24547,56.068
135,152.353,609.248,169,2298,56.068
136,152.353,1377.760,136,24248,56.068
137,152.353,595.334,164,2274,56.068
138,152.353,1374.908,129,24256,56.068
139,152.353,579.076,163,2253,56.068
140,152.353,1374.780,137,24008,56.068
141,152.353,569.969,168,2160,56.068
142,152.353,1374.020,129,24559,56.068
143,152.353,565.508,153,2133,56.068
144,152.353,1372.244,128,23713,56.068
145,152.353,567.160,167,2057,56.068
146,152.353,1371.954,132,23982,56.068
147,152.353,564.071,167,2095,56.068
148,152.353,1368.092,134,23735,56.068
149,152.353,568.428,165,2106,56.068
150,152.353,1366.054,129,23397,56.068
151,152.353,562.313,153,2038,56.068
152,152.353,1364.409,134,23179,56.068
153,152.353,552.141,156,2006,56.068
154,152.353,1361.766,126,22730,56.068
155,152.353,538.507,164,1971,56.068
156,152.353,1359.244,134,22726,56.068
157,152.353,534.780,161,1904,56.068
158,152.353,1357.466,131,22715,56.068
159,152.353,520.922,156,1955,56.068
160,152.353,1353.735,125,22292,56.068
161,152.353,509.970,163,1853,56.068
162,152.353,1350.439,129,22315,56.068
163,152.353,504.480,162,1880,56.068
164,152.353,1349.427,134,22263,56.068
165,152.353,499.974,160,1757,56.068
166,152.353,1345.557,126,21859,56.068
167,152.353,495.744,153,1726,56.068
168,152.353,1344.574,131,21389,56.068
169,152.353,486.858,161,1761,56.068
170,152.353,1341.914,129,21276,56.068
